"id:","Название:","Название (in english):","Активный:","Краткое описание:","Детальное описание:","Краткое описание (in english):","Детальное описание (in english):","МО:","Субъект федерации:","Значимость:","Населённый пункт:","Населённый пункт (in english):","Адрес:","Адрес (in english):","ОКТМО:","ФЦП (федеральная целевая программа):","Действия с объектом:","Дата начала строительства / реконструкции:","Дата завершения строительства / реконструкции:","Общий объём финансирования:","Финансирование из федерального бюджета:","Финансирование из федерального бюджета (из них освоено):","Финансирование из бюджета субъекта федерации:","Финансирование из бюджета субъекта федерации (из них освоено):","Финансирование из бюджета муниципального образования:","Финансирование из бюджета муниципального образования (из них освоено):","Финансирование из внебюджетных источников:","Финансирование из внебюджетных источников (из них освоено):","Ключевой или нет?:","Курирующий орган:","Курирующий орган (in english):","Адрес курирующего органа:","Адрес курирующего органа (in english):","Телефон курирующего органа:","Контактный телефон объекта:","Режим работы Пн.-Пт.:","Режим работы Сб.:","Режим работы Вс.:","Площадь:","E-mail:","URL сайта:","Внесён в реестр?:","Тип спортивного комплекса:","Какие соревнования проводятся?:","Виды спорта:","Яндекс координата объекта X:","Яндекс координата объекта Y:","Маштаб Яндекс-карты:","Яндекс координата центра X:","Яндекс координата центра Y:","Мини координата X:","Мини координата Y:","Генеральный план:","Дополнительные планы:","Фото:","URL фото галереи объекта:","Видео:","Панорамы:","Web-трансляции:","Прочие материалы:"
"3060","Искусственное футбольное поле ","Artificial football field","Y","В городе очень велик спрос населения на занятия массовыми видами спорта. Самым востребованным является футбол. В настоящее время играют в футбол более 4 тысяч человек от 5 до 60 лет. Город имеет лишь одно футбольное поле как для проведения профессиональных  тренировок и любительских игр, так и для спортивных соревнований. Строительство стадиона с искусственным футбольным покрытием позволило сделать тренировочный процесс более эффективным, составлять план спортивных мероприятий с учетом игр республиканского и всероссийского масштаба, круглогодично привлекать детей и подростков к занятиям футболом, а также  реализовать футбольный потенциал спортсменов города на более качественном, профессиональном уровне. Наличие зрительских мест способствует популяризации данного вида спорта. Даты крупных соревнований и значимых событий: 2010-2014гг. Первенство Республики Хакасия по футболу. Октябрь 2014г. Первенство ЛФЛ Россий по футболу &#40 Зона Сибирь&#41  Финал Кубка Сибири по футболу.  ","Искусственная трава из монофиламентного полиэтиленового волокна с высотой ворса 60 мм.","There is a great demand for going in for mass sports from population. The most popular one is football. Currently more than 4 thousand people from 5 to 60 years old play football. The city has only one football field designed for both professional trainings and amateur games as well as for sports competitions.Construction of the stadium with artificial turf enabled to make this process more efficient, draw up a plan of sports events with account of  game of republic and all-Russian levels, involve children and young people in going in for football all the year round as well as realize football potential of the city sportsmen on a more qualitative professional level. Availability of places for spectators facilitates popularization of this sport.","Artificial turf made of monofilament polyethylene fiber with pile height of 60 mm. ","г.о. город Черногорск","Республика Хакасия",,"г. Черногорск","Chernogorsk","Республика Хакасия, г. Черногорск, ул. Генерала Тихонова, 32","32а Prospekt Kosmonavtov, Chernogorsk","95715000","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.05.2009","01.10.2010",8440000,8440000,,0,,0,,0,,,,,,,"(3902) 23-79-52",,,,,,"mashin-vv@mail.ru",,,"футбольное поле ",,"футбол",91.3336,53.8318,15,91.32470000000001,53.8273,,,0,0,27,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3060",0,0,0,2
"3080","Физкультурно-оздоровительный комплекс","Sports and physical training center","Y",,,,,"Алатырский район","Республика Чувашия",,"г. Алатырь","Alatyr","Республика Чувашия, г. Алатырь","No address","97704000","Развитие ФК и спорта в РФ (2006-2015)","строительство",,"25.12.2007",17500000,17500000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,,46.5722,54.8398,16,46.5674,54.8357,,,0,0,6,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3080",0,0,0,0
"3091","Физкультурно-оздоровительный комплекс","Sports and physical training center","Y","Физкультурно-спортивный комплекс  сосредоточен на массовом привлечении населения к систематическим занятиям физической культурой и спортом. Благодаря этому достигнута значительная положительная динамика в росте численности населения, занимающегося  в оздоровительном комплексе.",,"Fitness and sports complex focuses on mass involvement of population in physical exercising and going in for sports. Due to this fact significant positive dynamics in growth of a number of local people attending the recreation complex was achieved.",,"Канашский район","Республика Чувашия",,"с. Шихазаны","Shikhazany","Республика Чувашия, с. Шихазаны, ул. Генерала Михайлова, 15/а","15А General Mikhailov str., Shikhazani, Kanashsky area, Republic of Chuvashia","97616476","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.06.2005","15.09.2006",15400000,15400000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,"бадминтон, баскетбол, бильярдный спорт, волейбол, лёгкая атлетика, плавание, спортивная гимнастика, теннис, тяжёлая атлетика, художественная гимнастика, шахматы, шашки",47.395,55.5601,16,47.3933,55.5595,,,0,0,6,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3091",0,0,0,0
"3101","Спортивный  корпус с плавательным бассейном «Патвар»","Physical Training and Recreation Center «Patvar»","Y","Необходимо отметить, что благодаря преимущественному строительству физкультурно-спортивных комплексов в сельской местности намного улучшилась спортивная инфраструктура для развития массовой физкультурно-спортивной работы, а также увеличился удельный вес сельского населения, систематически занимающегося физической культурой и спортом, за 2008-2013 годы с 25 процентов до 35,9 процентов к общей численности сельского населения нашего района. Физкультурно - оздоровительный комплекс используется не только для занятий населения поселка Ибреси и Ибресинского района, а также близлежащих районов физкультурой и спортом, но и для проведения учебных занятий учащихся средних и общеобразовательных школ, районных и республиканских мероприятий и соревнований. Благодаря появлению  ФОКа удалось достичь положительного эффекта по многим направлениям: отмечается динамика в росте численности населения, занимающегося физической культурой и спортом с 23,5&#37  - в 2007 году до 35,9&#37  - в 2013. В детско-юношеской спортивной школе  теперь уже по 9 видам спорта занимаются  548 детей и подростков. В целях улучшения рационального использования новых комплексов в них активнее  начали культивировать такие массовые виды спорта, как: мини-футбол, футзал, волейбол, баскетбол, стрит-баскет, плавание. На базе физкультурно-спортивных комплексов массово и зрелищно проведены соревнования в рамках первенства Чувашской Республики по волейболу среди юношей и девушек, открытый республиканский турнир по кикбоксингу памяти воинов-афганцев и повших в боях на северном Кавказе, зональные игры чемпионата Школьной Баскетбольной Лиги «КЭС-БАСКЕТ», чемпионат республики по вольной борьбе среди юношей памяти мастера спорта СССР О.А. Маркиянова, ежемесячно республиканская акция «День здоровья и спорта», «Школьная волейбольная лига», II этап Всероссийских соревнований по мини-футболу &#40 футзалу&#41  среди команд общеобразовательных учреждений в 2013-2014 гг. &#40 в рамках общероссийского проекта «Мини-футбол – в школу»&#41 , Республиканский Фестиваль математиков  и многие другие. ",,"It should be noted that due to predominant construction of sports complexes in the countryside there has been much improved sports infrastructure for the development of mass physical culture and sports activities, and also to increase the proportion of the rural population regularly engaged in physical culture and sports, for 2008-2013, from 25 percent to 35.9 percent of the total rural population in our area&lt br&gt &lt br&gt Health and fitness complex is not only used for practicing the township Ibresi and Ibresinsky District, as well as the surrounding areas in physical culture and sports, but also for studies of students in secondary schools, district and national events and competitions.&lt br&gt &lt br&gt The emergence of health and fitness centre had a positive effect in many ways: the dynamics is observed in the growth of the population engaged in physical culture and sports with 23.5% - in 2007 to 35.9% - 2013. Sports school _ involves 548 children and adolescents in 9 sports. In order to improve the rational use of new complexes they started _ to cultivate such mass sports as mini-football, volleyball, basketball, street-basket, swimming. On the basis of the sports complexes mass and entertainment competitions in ice hockey are held in the framework of the Chuvash Republic championship in volleyball among boys and girls, open national tournament in kickboxing in commemoration of soldiers in Afghanistan who died in battles in the northern Caucasus, the zonal championship game School Basketball League &quot IES Basket &quot republic championship in freestyle wrestling in commemoration of master of sports of the USSR O.A Markiyanov, monthly Republican campaign &quot Health and Sports Day,&quot  &quot School Volleyball League?, II stage of All-Russian competition on minifootball (futsal) among teams of educational institutions in 2013-2014. (within the nationwide project &quot Mini-football - school&quot ), Republican Festival of mathematicians and many others.",,"Ибресинский район","Республика Чувашия",,"пгт Ибреси","Ibresi","Республика Чувашия, пгт Ибреси, ул. Никольская, 9","429700, Chuvash Republic, p.Ibresi, Nikolskaya, 9","97613151","Развитие ФК и спорта в РФ (2006-2015)","строительство","07.11.2006","30.07.2008",46185000,46185000,,0,,0,,0,,,,,,,,"89373903222",,,,,"patvar@ibresi.cap.ru",,,"многофункциональный спортивный комплекс",,"баскетбол, волейбол, вольная борьба, мини-футбол, настольный теннис, плавание, теннис, фитнес-аэробика",47.0432,55.2959,16,47.0399,55.2957,,,0,1,53,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3101",0,0,0,1
"3112","ФОК «Олимп»","Sports School for Children and Young People «Olimp»","Y","Физкультурно-оздоровительный комплекс «Олимп» начал функционировать с марта 2007 года. За время своего существования он  дал возможность приобщиться к занятиям физической культурой и спортом всем категориям  жителей города, района, а также нашим гостям. С открытием «ДЮСШ»   при МОУ ДОД «Олимп» было сформировано и начало функционировать  отделение плавания на бесплатной основе  и охватом более двухсот детей,  появилась возможность организовывать и проводить спортивно-массовые мероприятия не только городского и районного масштабов, но и республиканского, зонально-территориального уровня, с приглашением гостей и участников из близлежащих республик и областей.  Участники и инвалиды  ВОВ, инвалиды  общих заболеваний, дети из малообеспеченных семей  имеют возможность посетить  спортивный комплекс бесплатно в специально отведенное для них время.  Объект вносит свой вклад в формирование современного облика города и поддержку чувашского и российского спорта, развитие которого  является одной из приоритетных задач государства. Объект находится в центре города, шаговой доступности. Новое футбольное поле, отвечает современным европейским стандартам, предназначенным для любительского и профессионального спорта, полноценного физического развития подрастающего поколения. На обновленном стадионе  созданы все условия для работы детско-юношеских спортивных школ и секций, развитию талантливой молодежи и воспитанию профессиональных спортсменов. ","Применение в строительстве « сендвич-панелей», кровля над плавательным бассейном и универсальным спортивным залом  покрыта мягкой кровлей.  Футбольное поле с искусственным покрытием и ливневая канализация по водоотводу  хоккейная коробка   реконструкция трибун - установка пластиковых кресел  уличная гимнастическая площадка  уличные тренажеры  наружное освещение  ограждение стадиона.","“Olymp” fitness and sports complex began to function in March 2007. During its functioning it gave a possibility to join in physical exercising and going in for sports to all categories of residents of the city, district as well as to our guests. After “Children and Youth Sports School” upon “Olymp” Municipal Educational Establishment for Additional Education for Children has been opened a free of charge swimming section which more than 200 children attend was created and began to function  a possibility to organize and hold mass sports activities not only of city and district, but also republic and zonal and territorial levels with invitation of guests and participants from nearby republics and regions.Veterans and disabled servicemen of the Great Patriotic War, disabled person who suffers from a systemic disease, and children from needy families has a possibility to attend the complex free of charge during specially allotted hours.","Use of sandwich panels in the construction  roofing over a swimming pool and multi-purpose sports hall is covered with rolled roofing material. ","Город Шумерля","Республика Чувашия",,"г. Шумерля","Shumerlya","Республика Чувашия, г. Шумерля, ул. Ленина, 17/б","Chuvash Republic, Shumerlya Street. Lenin, 17-B","97713000","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.04.2006","30.12.2012",57500000,57500000,,0,,0,,0,,,,,,,,,"8.00 - 20.00",,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, волейбол, каратэ, плавание, фитнес-аэробика",46.4033,55.5006,16,46.4032,55.5002,,,0,0,7,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3112",0,0,0,0
"3116","ФОК «Паттар»","Sports and Physical Training Center «Pattar»","Y","С вводом в строй спорткомплекса многократно возросло число людей, регулярно занимающихся физкультурой и спортом. С 10 организациями района заключены договора на оказание физкультурно- спортивных услуг.  Большинство учащихся школ района занимаются в спорткомплексе в рамках уроков физкультуры и летних детских оздоровительных лагерей.  Спортсооружения спорткомплекса активно используются в реализации многих проектов развития массового спорта.","Спортивный комплекс построен путем реконструкции старого Дома культуры «Сельхозтехники».","After the sports complex had been put into service a number of people going in for sports on a regular basis increased by many times. Agreements on rendering of physical education and sports services were concluded with 10 organizations of the district.The majority of pupils of the district schools attend the sports complex in the frames of physical training classes and summer children recreation camps.Sports constructions of the sports complex are used actively for realization of numerous projects of mass sports development.","&lt p&gt &lt span&gt The sports center is built by means of renovation of the old Culture Center &quot Selkhoztekhnika&quot .&lt /span&gt &lt /p&gt ","Батыревский район","Республика Чувашия",,"с. Батырево","Batyrevo","Республика Чувашия, с. Батырево, ул. Гагарина, 17","Chuvash Republic, Batyrevsky District, p. Batyrevo Street. Gagarin, 17","97607410","Развитие ФК и спорта в РФ (2006-2015)","реконструкция","15.02.2006","15.10.2008",18800000,18800000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, велоспорт-трек, велоспорт-шоссе, волейбол, вольная борьба, городошный спорт (городки), греко-римская борьба, лёгкая атлетика, настольный теннис, плавание, спортивная аэробика, тяжёлая атлетика, фитнес-аэробика, футбол, шахматы, шашки",47.5986,55.0623,16,47.5987,55.0635,0.2207,0.4343,0,1,12,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3116",0,0,0,0
"3139","Центр спорта и здоровья «Улап»","Sports and Health Center «Ulap»","Y","Физкультурно-оздоровительный центр для всех слоев населения. Даты крупных соревнований и значимых событий: 2004г. – V Всероссийские летние сельские спортивные игры. 2012г. – IX Всероссийские летние сельские спортивные игры. 2014г.- XVII Всероссийские летние сельские спортивные игры. 2014г.-Всероссийские соревнования по традиционным видам спорта. 2015г. – Соревнования по лыжным гонкам в рамках Спартакиады работников органов власти. ","При строительстве использовались типовые технологии.",,,"Чебоксарский район","Республика Чувашия",,"пос. Кугеси","Kugesi","Республика Чувашия, пос. Кугеси, ул. Советская, 37","Chuvash Republic, Cheboksary area pos.Kugesi, Sovetskaya street, 37","97644442","Развитие ФК и спорта в РФ (2006-2015)","строительство","23.01.2006","24.01.2008",48500000,48500000,,0,,0,,0,,,"Старший инструктор-методист - Яковлев Михаил Юрьевич ",,,,"(883540) 2-48-67, 89603098083",,"11:00-21:00",,,,"fokulap@mail.ru",,,"многофункциональный спортивный комплекс",,"баскетбол, бокс, волейбол, мини-футбол, плавание, теннис",47.2928,56.029,16,47.2933,56.0287,,,0,1,131,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3139",3,0,0,2
"3140","Физкультурно-спортивный центр «Локомотив»","Sports and Physical Training Center «Lokomotiv»","Y",,,,,"Канашский район","Республика Чувашия",,"с. Канаш","Kanash","Республика Чувашия, г. Канаш","No address","97707000",,"строительство",,"18.02.2008",38900000,38900000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,,47.8416,54.7682,17,47.8401,54.7671,,,0,0,12,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3140",0,0,0,0
"3165","Физкультурно-спортивный комплекс «Улап» на территории  ЯСОШ","Physical Training and Recreation Center «Ulap»","Y","Объект представляет собой двухэтажное каркасно-панельное здание. Имеются универсальный спортивный зал, два тренажерных зала, малый борцовый зал, плавательный бассейн, зал для игры в настольный теннис, сауна.  Значимость - создание условий для укрепления здоровья населения путем развития инфраструктуры спорта, популяризации  массового и профессионального спорта &#40 включая спорт высших достижений&#41  и приобщения различных слоев общества к регулярным занятиям физической культурой и спортом. Расположение ФОК на территории ЯСОШ, который соединен с ней теплым переходом на уровне второго этажа, дает возможность охватить систематическими занятиями физической культурой и спортом детей и молодежи.","Разработка программы по строительству шло совместно с Нижегородским институтом. Использование новых технологий, которые применяются при строительстве таких объектов, позволило в кратчайшие сроки решить проблему строительства. Фундамент из железобетонных монолитных столбчатых блоков. Стеновое ограждение представляет собой металлокаркас, обшитый теплоизоляционными пенополиуретановыми сэндвич-панелями. Температурные условия эксплуатации: оптимальная температура внутри &#43 20&#186 С, температура внешней среды от -50&#186 С до &#43 40&#186 С.","The object represents a two-storey frame-panel building. There is a multi-purpose sports hall, two fitness rooms, small wrestling hall, swimming pool, hall for table tennis and sauna here.Importance: creation of conditions for strengthening of health of population by the way of development of sports infrastructure, popularization of mass and professional sports (including high performance sports) and involvement of different community groups in physical trainings and going in for sports on a regular basis. Location of the sports and recreation complex on the territory of Yalchiki secondary general education school joined to it by a warm passage on the level of the second storey gives a possibility to involve children and young people in physical trainings and going in for sports on a regular basis.","Development of a construction program was performed together with the Nizhniy Novgorod Institute. The use of new technologies that are used in the construction of such facilities allowed solving the problem of construction in the shortest possible time. A foundation is made of solid-cast reinforced concrete columnar blocks. A wall cladding is a metal frame coated with foam polyurethane insulation sandwich panels. Temperature operating environment: optimum temperature inside +20°C, ambient temperature -50°C to +40°C.","Яльчикский район","Республика Чувашия",,"с. Яльчики","Yalchiki","Республика Чувашия, с. Яльчики, ул. Юбилейная, 6/а","6 «А» Yubileynaya str., Yalchiki, Yalchiksky area, Republic of Chuvashia","97655440","Развитие ФК и спорта в РФ (2006-2015)","строительство","31.10.2006","27.06.2008",34700000,34700000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, волейбол, вольная борьба, городошный спорт (городки), греко-римская борьба, дартс, дзюдо, лёгкая атлетика, мини-футбол, плавание, пляжный волейбол, самбо, стендовая стрельба, стритбол, танцевальный спорт, теннис, тяжёлая атлетика, футбол, хоккей, хоккей с мячом",48.0095,55.1611,15,48.0108,55.1608,,,0,0,19,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3165",0,0,0,0
"3185","Физкультурно-спортивный центр «Сывлах»","Sports and Physical Training Center «Syvlakh»","Y","Описание объекта с точки зрения его социальной значимости: - осуществление спортивно-оздоровительной, воспитательной работы среди детей и подростков, направленной на укрепление их здоровья  - улучшение состояния здоровья, включая физическое развитие  - формирование морально-этических и волевых качеств  - пропаганда здорового образа жизни средствами физической культуры и спорта  - привлечение максимально возможного числа детей и подростков к систематическим занятиям спортом с целью снижения уровня преступности в Чувашской Республике  - обеспечение подготовки спортсменов высшего спортивного мастерства и спортивных сборных команд Чувашской Республики. ",,"Description of the facility in terms of its social significance:&lt br&gt - Implementation of sports and recreational, educational work among children and adolescents, aimed at strengthening their health,&lt br&gt &lt br&gt - Improvement of health, including physical development,&lt br&gt - The formation of ethical and volitional qualities,&lt br&gt &lt br&gt - promoting a healthy lifestyle by means of physical culture and sports,&lt br&gt - Attracting the greatest possible number of children and adolescents to systematic sports activities with the aim of reducing crime in the Chuvash Republic,&lt br&gt - Provision of training athletes high sports and sports national teams of the Chuvash Republic.",,"Моргаушский район","Республика Чувашия",,"с. Моргауши","Morgaushi","Республика Чувашия, с. Моргауши, ул. Мира, 8","No address","97632435","Развитие ФК и спорта в РФ (2006-2015)","строительство","05.02.2007","27.11.2008",40000000,40000000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, бокс, волейбол, вольная борьба, настольный теннис, пауэрлифтинг, плавание, хоккей",47.4892,55.5166,16,47.4884,55.5171,,,0,0,36,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3185",0,0,0,1
"3206","ФОК с бассейном «Дельфин» Порецкой СОШ","Sports and Physical Training Center «Delfin»","Y","Физкультурно – спортивный комплекс имеет бассейн с 6 дорожками по25м, зал вольной борьбы площадь 91,6 кв.м., зал аэробики 42,8 кв.м и тренажерный зал.76,6 кв.м","Строительство велось с использованием типовых технологий.",,,"Порецкий район","Республика Чувашия",,"с. Порецкое","Poretskoe","Республика Чувашия, с. Порецкое, пер. Школьный, 6",,"97635455","Развитие ФК и спорта в РФ (2006-2015)","строительство","02.04.2008","26.12.2008",40000000,40000000,,0,,0,,0,,,"Директор спортивного объекта - Шуряков Анатолий Иванович",,,,,"(83543)2-18-41",,,,,"delfin2129@rambler.ru","http://www.delphin-porezk.edu.cap.ru",,"многофункциональный спортивный комплекс",,"вольная борьба, плавание",46.3354,55.1947,16,46.3322,55.1951,,,0,0,16,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3206",0,0,0,0
"3229","Физкультурно-спортивный  комплекс","Sports and Physical Training Center","Y","Социально-гарантированное обслуживание населения Аликовского района физкультурно-спортивным комплексом, размещенным по месту жительства, обеспечивает возможность реализации необходимого минимума двигательной активности, а также организацию содержательного досуга детей и взрослых средствами физической культуры и спорта.  Предусмотрены как самостоятельные, так и организованные физкультурно-оздоровительные занятия детского и взрослого населения района.  Физкультурно-спортивный комплекс – основная база спортивной школы, которая является учреждением, с деятельностью направленной на выполнение социально значимых функций. ДЮСШ обеспечивает необходимые условия для личностного и физического развития, укрепления здоровья, профессионального самоопределения, ведет работу по привлечению занимающихся к систематическим занятиям физической культурой и спортом, оказывает всестороннюю помощь общеобразо-вательным школам в организации методической и спортивно-массовой работы по различным видам спорта. Деятельность спортивной школы не преследует цель получения прибыли.  ","Физкультурно-спортивный комплекс в с. Аликово имеет в плане сложную, Г-образную форму.  Объем сблокированных сооружений представлен вокруг 2-х основных залов – универсального спортивного и тренажерного. В основном крыле здания расположен универсальный спортивный зал с трибунами для зрителей. Другое крыло расположено перпендикулярно и представлено на 1-м этаже тренажерным залом, фитнес залом, на 2-м этаже - борцовским залом. Данные 2 основных «крыла» здания спроектированы из легких «сэндвич-панелей» и соединяются между собой кирпичной, 6-ти угольной в плане вставкой. Вставка состоит из 3-х этажей. Внутри вставки расположены обслуживающие ФСК помещения. На 3-м этаже вставки расположены помещения для отдыха занимающихся спортсменов. В здании ФСК предусмотрено техподполье. Техподполье имеет сложную в плане форму и расположено под кирпичной вставкой. В техподполье размещен тепловой узел и прокладываются коммуникации, необходимые для нормального функционирования ФСК. На 1-м этаже расположены раздевалки, душевые для спортзала, а также дополнительные эвакуационные выходы. Универсальный спортивный зал имеет в плане размеры 39x18м, тренажерный зал - 17,5x9,0м, фитнес зал - 9х9м. На 2-м этаже расположены трибуны для зрителей, ориентированные на две стороны универсального спортивного зала, а также борцовский зал, раздевалки, административные помещения. Борцовский зал имеет в плане размеры 17,5x18м. 3-ий этаж предназначен для отдыха спортсменов, и имеет для этого все необходимые помещения. Конструктивные решения проектируемого здания приняты с учетом технологических санитарно-гигиенических требований. В  связи с тем, что комплекс представлен разнородными объемами, два «крыла» здания решены по каркасной схеме из металлоконструкций. А объем, относящийся к вставке и вспомогательным помещениям - по стеновой схеме - из кирпича. ","Socially guaranteed service of Alikovsky district population by the sports and fitness complex located at the place of residence provide a possibility of realization of necessary minimum of physical activity as well as organization of useful leisure time of children and adults by means of physical education and sports.Both individual and organized physical trainings and recreation activities of children and adult residents of the district are envisaged.","A three-story brick building faced with ceramic and granite slabs, and sports halls made of metal sandwich panels. ","Аликовский район","Республика Чувашия",,"с. Аликово","Alikovo","Республика Чувашия, с. Аликово, ул. Парковая, 9/а","9А Parkovaya str., Alikovo, Alikovsky area, Republic of Chuvashia, 429250","97605405","Развитие ФК и спорта в РФ (2006-2015)","строительство","28.02.2008","14.10.2009",50088100,49400000,,0,,688100,,0,,,,,,,,"8 (83535)22706",,,,,"al_xelxem@alikov.cap.ru","http://gov.cap.ru/home/57/soc/obrazov/fsk/index.html",,"многофункциональный спортивный комплекс",,"армспорт (армрестлинг), бадминтон, баскетбол, бокс, волейбол, вольная борьба, гиревой спорт, дартс, киокусинкай, лёгкая атлетика, лыжные гонки, настольный теннис, пауэрлифтинг, спортивная аэробика, теннис, фитнес-аэробика, футбол, хоккей, шахматы, шашки",46.7492,55.7405,16,46.7469,55.7398,,,0,1,12,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3229",0,0,0,0
"3265","ФОК «Атал»","Physical Training and Recreation Center «Atal»","Y",,,,,"Порецкий район","Республика Чувашия",,"с. Козловка","Kozlovka","Республика Чувашия, с. Козловка","Kozlovka","97629101","Развитие ФК и спорта в РФ (2006-2015)","строительство",,"07.09.2009",60000000,60000000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,,46.2698,55.2645,15,46.2722,55.264,,,0,0,9,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3265",0,0,0,0
"3279","ФОК «Мариинский»","Physical Training and Recreation Center «Mariinskiy»","Y",,,,,"Мариинско-Посадский район","Республика Чувашия",,"г. Мариинский Посад","Mariinsky Posad","Республика Чувашия, г. Мариинский Посад","No address","97629101","Развитие ФК и спорта в РФ (2006-2015)","строительство",,"22.06.2010",60000000,60000000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,,47.7143,56.1119,16,47.7169,56.1132,,,0,0,14,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3279",0,0,0,0
"3297","Культурно-оздоровительный центр","Sports and physical training center","Y","Центр проведения всех спортивно-массовых мероприятий Шумерлинского района.",,"The centre of all mass sports events of Shumerlinsky district.",,"Шумерлинский район","Республика Чувашия",,"с. Торханы","hamletTorkhany","Республика Чувашия, с. Торханы, ул. Октябрьская, 5","5 Oktyabrskaya str., Torkhany, Shumerlinsky area, Republic of Chuvashia","97650445","Развитие ФК и спорта в РФ (2006-2015)","строительство","27.05.2005","25.12.2009",14100000,14100000,,0,,0,,0,,,,,,,,,,,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, велоспорт-шоссе, волейбол, лёгкая атлетика, хоккей",47.4239,55.7405,17,47.4238,55.7401,,,0,0,11,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3297",0,0,0,0
